"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2018,30172475,1,30172998
2018,30167430,1,30172999
2018,30172500,1,30173032
2018,30172514,1,30177935
2018,30172588,1,30168003
2018,30167514,1,30177981
2018,30172602,1,30168020
2018,30172620,1,30173153
2018,30172628,1,30173161
2018,30172638,1,30168048
2018,30172644,1,30173173
2018,30172661,1,30173190
2018,30162627,1,30178051
2018,30167602,1,30178069
2018,30172704,1,30173234
2018,30172746,1,30173281
2018,30172748,1,30173283
2018,30172749,1,30173285
2018,30172752,1,30173290
2018,30162690,1,30173294
2018,30167655,1,30168149
2018,30172776,1,30168163
2018,30162750,1,30178205
2018,30172845,1,30178204
2018,30162767,1,30168221
2018,30167794,1,30178245
2018,30172879,1,30173415
2018,30162811,1,30168271
2018,30172911,1,30173450
2018,30172926,1,30173461
2018,30162849,1,30168307
2018,30167905,1,30178355
2018,30162877,1,30178358
2018,30167917,1,30173500
2018,30162894,1,30168347
2018,30167935,1,30173511
2018,30167937,1,30178386
2018,30167945,1,30173528
2018,30173009,1,30168391
2018,30167992,1,30178437
2018,30168000,1,30173579
2018,30168007,1,30178450
2018,30173042,1,30173594
2018,31146553,1,31157717
2018,31146594,1,31168386
2018,31146595,1,31157752
2018,31157084,1,31157778
2018,31157099,1,31157787
2018,31157107,3,31168450
2018,31157128,1,31157804
2018,31157149,1,31168490
2018,31157161,1,31168500
2018,31146688,1,31168520
2018,31157193,2,31168533
2018,31158172,1,31169498
2018,31158177,1,31169502
2018,31158205,1,31169528
2018,31147349,1,31158518
2018,31158366,1,31169694
2018,31158377,1,31169704
2018,31158391,1,31158618
2018,30167171,1,30177644
2018,30172143,1,30177648
2018,30167184,1,30167656
2018,30172154,1,30167664
2018,30162188,1,30167667
2018,30167201,1,30177677
2018,30172185,1,30167705
2018,30167230,1,30167703
2018,30167245,1,30167720
2018,30162239,1,30172702
2018,30162297,1,30172749
2018,30167276,1,30177748
2018,30172259,1,30172757
2018,30172264,1,30167774
2018,30172331,1,30177807
2018,30172342,1,30167832
2018,30172363,1,30172872
2018,30167386,1,30172927
2018,30167401,1,30177877
2018,30172442,1,30172964
2018,30162459,1,30177883
2018,30172452,1,30167912
2018,30162477,1,30172991
2018,30162490,1,30167933
2018,30162491,1,30167934
2018,30167450,1,30177919
2018,30167449,1,30177917
2018,30167470,1,30167963
2018,30172542,1,30173081
2018,30162555,1,30167993
2018,30162575,1,30177987
2018,30162572,1,30168013
2018,30172595,1,30173132
2018,30167520,1,30173133
2018,30172609,1,30173143
2018,30167524,1,30168027
2018,30167552,1,30178021
2018,30162609,1,30178022
2018,30167563,1,30168063
2018,30172666,1,30173193
2018,30172684,1,30173208
2018,30162652,1,30173235
2018,30162656,1,30168103
2018,30162660,1,30168107
2018,30172725,1,30173260
2018,30172761,1,30173298
2018,30167658,1,30178114
2018,30172778,1,30173316
2018,30167682,1,30173323
2018,30172796,1,30173337
2018,30162723,1,30168178
2018,30167755,1,30178206
2018,30167764,1,30178216
2018,30167777,1,30168225
2018,30162769,1,30168223
2018,30162772,1,30168229
2018,30172896,1,30173432
2018,30167824,1,30178272
2018,30162805,1,30168263
2018,30167846,1,30168275
2018,30162840,1,30168299
2018,30162838,1,30178314
2018,30162844,1,30173464
2018,30162860,1,30178338
2018,30167899,1,30178343
2018,30162873,1,30168325
2018,30162897,1,30168351
2018,30162913,1,30168360
2018,30167938,1,30173520
2018,30172978,1,30173531
2018,30162944,1,30173558
2018,30172999,1,30168384
2018,30167989,1,30178435
2018,30173038,1,30173590
2018,30168033,1,30178472
2018,30163008,1,30168450
2018,30163007,1,30178488
2018,30168471,1,30178928
2018,30173500,1,30174043
2018,30167175,1,30167645
2018,30167188,1,30167661
2018,30172155,1,30172640
2018,30162191,1,30177670
2018,30172192,1,30167717
2018,30162268,1,30177717
2018,30162306,1,30172761
2018,30172262,1,30172763
2018,30162343,1,30172800
2018,30162353,1,30167804
2018,30167305,1,30167811
2018,30172382,1,30172902
2018,30162488,1,30173011
2018,30167436,1,30173012
2018,30167474,7,30177948
2018,30162561,1,30168000
2018,30167518,1,30168012
2018,30172605,1,30173139
2018,30172604,1,30168022
2018,30162583,1,30177991
2018,30172686,1,30173209
2018,30162634,1,30168090
2018,30172693,1,30173216
2018,30172692,1,30168093
2018,30162643,1,30173218
2018,30162669,1,30168117
2018,30167619,1,30168118
2018,30172728,1,30178086
2018,30167637,1,30178098
2018,30172750,1,30173288
2018,30167654,1,30168147
2018,30172764,1,30168148
2018,30172137,1,30172628
2018,30162161,1,30167635
2018,30162170,1,30167650
2018,30162171,1,30167651
2018,30172157,1,30172644
2018,30172162,1,30167674
2018,30162272,1,30167748
2018,30172225,1,30172725
2018,30162279,1,30172734
2018,30167264,1,30172733
2018,30167265,1,30177731
2018,30167269,1,30172740
2018,30162286,1,30177735
2018,30162302,1,30172755
2018,30162313,1,30167776
2018,30172268,1,30167779
2018,30162330,1,30167788
2018,30172278,1,30177770
2018,30172324,1,30177802
2018,30172348,1,30177815
2018,30162392,1,30167848
2018,30167356,1,30172877
2018,30162401,1,30177835
2018,30172378,1,30167858
2018,30162410,1,30172901
2018,30172414,1,30167887
2018,30172445,1,30177884
2018,30162486,1,30173008
2018,30167437,1,30167931
2018,30172568,1,30173109
2018,30162560,1,30167999
2018,30167511,1,30168001
2018,30162593,1,30178005
2018,30172663,1,30173191
2018,30162615,7,30168065
2018,30172676,1,30173203
2018,30172673,1,30168073
2018,30172696,1,30173222
2018,30162647,1,30178073
2018,30172729,1,30178090
2018,30162684,1,30168134
2018,30167648,1,30178105
2018,30167680,1,30178132
2018,30162710,1,30168167
2018,30162709,1,30168166
2018,30172823,1,30168192
2018,30162771,1,30173408
2018,30162785,1,30168240
2018,30162786,1,30178254
2018,30162799,1,30168256
2018,30167949,1,30168365
2018,30172983,1,30178399
2018,30167961,1,30178410
2018,30162935,1,30173543
2018,30162948,1,30168387
2018,30173017,1,30168397
2018,30173029,1,30173582
2018,30173036,1,30173588
2018,30162971,1,30168424
2018,30168469,1,30168902
2018,30168475,1,30178932
2018,30172194,1,30167722
2018,30172198,1,30172691
2018,30162259,1,30172716
2018,30162261,1,30167743
2018,30172220,1,30172720
2018,30162384,1,30172858
2018,30172352,1,30177819
2018,30172350,1,30167840
2018,30167364,1,30177838
2018,30172380,1,30172894
2018,30167371,1,30172907
2018,30172387,1,30177843
2018,30162417,1,30177842
2018,30162422,1,30167874
2018,30167378,1,30167878
2018,30167402,1,30177878
2018,30172441,1,30172963
2018,30172447,1,30172968
2018,30167416,7,30172975
2018,30167443,1,30177912
2018,30167442,1,30177911
2018,30167444,1,30173021
2018,30172513,1,30177930
2018,30167460,1,30177934
2018,30172515,1,30173048
2018,30162521,1,30173049
2018,30162534,7,30167968
2018,30162534,2,30167967
2018,30172578,1,30173116
2018,30167513,1,30177980
2018,30167512,1,30168002
2018,30172607,1,30173141
2018,30162594,1,30173157
2018,30167547,1,30178017
2018,30162605,1,30168052
2018,30167551,1,30178020
2018,30172643,1,30168055
2018,30172641,1,30173171
2018,30172642,1,30173172
2018,30167574,1,30178037
2018,30172727,1,30173262
2018,30167623,1,30178087
2018,30167634,1,30168128
2018,30162680,1,30168127
2018,30172756,1,30178107
2018,30162701,1,30173305
2018,30162703,1,30168154
2018,30172780,1,30173318
2018,30172779,1,30173317
2018,30172794,1,30173335
2018,30172793,1,30173334
2018,30172795,1,30173336
2018,30167695,1,30168173
2018,30172809,1,30173351
2018,30167722,1,30178170
2018,30172827,1,30178187
2018,30167739,1,30178190
2018,30167769,1,30173394
2018,30172870,1,30178235
2018,30172888,1,30168244
2018,30172895,1,30173430
2018,30172894,1,30173429
2018,30167812,1,30168253
2018,30167820,1,30173435
2018,30162818,1,30178293
2018,30172909,1,30173449
2018,30167856,1,30178304
2018,30167868,1,30173463
2018,30172932,1,30173471
2018,30167889,1,30178333
2018,30162862,1,30173484
2018,30162885,1,30168342
2018,30167941,1,30173523
2018,30162938,1,30168379
2018,30167970,1,30178417
2018,30168476,1,30178933
2018,30172205,1,30167727
2018,30172206,1,30177706
2018,30172210,1,30172714
2018,30162258,1,30177713
2018,30172219,1,30177715
2018,30162267,1,30172722
2018,30162265,1,30167745
2018,30162277,1,30172731
2018,30172252,1,30172754
2018,30162304,1,30177752
2018,30172266,1,30177758
2018,30172267,1,30177759
2018,30162317,1,30177761
2018,30167295,1,30172796
2018,30162374,1,30167829
2018,30162372,1,30177809
2018,30172345,1,30172856
2018,30162397,1,30167855
2018,30172408,1,30167882
2018,30162453,1,30177880
2018,30172449,1,30177886
2018,30162467,1,30167918
2018,30172474,2,30177901
2018,30172483,1,30177907
2018,30172509,1,30167948
2018,30162508,1,30173040
2018,30162531,1,30167964
2018,30162532,1,30167965
2018,30167480,1,30177952
2018,30167501,1,30177969
2018,30162551,1,30167986
2018,30172569,1,30173108
2018,30172566,1,30173106
2018,30162556,1,30177977
2018,30167509,1,30167997
2018,30172583,1,30177978
2018,30162558,1,30173119
2018,30167507,1,30177976
2018,30162577,1,30168016
2018,30172622,1,30168036
2018,30172670,1,30173201
2018,30172674,1,30173202
2018,30167580,1,30168077
2018,30162649,1,30173230
2018,30172702,1,30173229
2018,30162663,1,30168110
2018,30162693,1,30168141
2018,30162692,1,30178110
2018,30172763,1,30178113
2018,30167668,1,30178124
2018,30172789,1,30173329
2018,30172790,1,30173331
2018,30172791,1,30173332
2018,30162711,1,30168168
2018,30167688,1,30178135
2018,30172836,1,30173372
2018,30167744,1,30178193
2018,30167748,1,30178198
2018,30167763,1,30178215
2018,30167778,1,30168224
2018,30172871,1,30178236
2018,30172887,1,30178256
2018,30167819,1,30178268
2018,30162802,1,30168260
2018,30167849,1,30178296
2018,30172920,1,30168291
2018,30167866,1,30178316
2018,30167882,1,30178328
2018,30167879,1,30168310
2018,30167888,1,30168314
2018,30167915,1,30168333
2018,30167923,1,30173504
2018,30172963,1,30173508
2018,30167981,1,30173559
2018,30173011,1,30173568
2018,30162964,1,30168414
2018,30173048,1,30168430
2018,30173072,1,30173627
2018,30162235,1,30167723
2018,30162249,1,30167731
2018,30172211,1,30167735
2018,30172228,1,30167751
2018,30172274,1,30167782
2018,30172303,1,30172813
2018,30172334,8,30172846
2018,30172340,1,30172851
2018,30162376,1,30172853
2018,30162373,1,30167828
2018,30172335,8,30172847
2018,30172346,1,30172857
2018,30172361,1,30172869
2018,30172358,1,30172867
2018,30167357,1,30172878
2018,30172377,1,30172888
2018,30162403,1,30172891
2018,30167390,1,30172933
2018,30162457,1,30172957
2018,30167413,1,30177885
2018,30162461,1,30172971
2018,30172453,1,30177888
2018,30172465,1,30172983
2018,30172464,1,30172982
2018,30167421,1,30172981
2018,30172467,1,30167920
2018,30162474,1,30177898
2018,30167424,1,30172986
2018,30172489,1,30173020
2018,30162497,1,30167938
2018,30167453,1,30173039
2018,30167484,1,30173082
2018,30162564,1,30168005
2018,30162568,1,30173127
2018,30162580,1,30168019
2018,30172624,1,30168038
2018,30172625,1,30173158
2018,30167566,1,30178032
2018,30172668,1,30173196
2018,30162620,1,30173199
2018,30167590,1,30178053
2018,30167599,1,30178066
2018,30162650,1,30173232
2018,30162677,1,30168124
2018,30172731,1,30173265
2018,30167639,1,30178099
2018,30172783,1,30173321
2018,30167710,1,30178157
2018,30167711,7,30178158
2018,30167715,1,30168180
2018,30167729,1,30178179
2018,30167756,1,30168210
2018,30162756,1,30168213
2018,30172848,1,30168214
2018,30162755,1,30168212
2018,30162774,1,30168230
2018,30162789,1,30173425
2018,30167813,1,30173431
2018,30167828,1,30178276
2018,30167834,1,30168265
2018,30172902,1,30168261
2018,30162863,1,30178342
2018,30167908,1,30178357
2018,30167907,1,30173490
2018,30162879,1,30168330
2018,30162914,1,30168361
2018,30167967,1,30173549
2018,30162956,1,30168404
2018,30162983,1,30168436
2018,30172139,1,30172631
2018,30162162,1,30167636
2018,30167172,1,30177645
2018,30162168,1,30167643
2018,30167163,1,30177638
2018,30162172,1,30177650
2018,30167183,1,30177659
2018,30172147,1,30167655
2018,30162180,1,30167658
2018,30172152,1,30177662
2018,30172149,1,30177661
2018,30167186,1,30167660
2018,30162187,1,30177668
2018,30167193,1,30172641
2018,30162193,1,30177673
2018,30162197,1,30167675
2018,30162206,1,30177689
2018,30162203,1,30167684
2018,30172178,1,30172668
2018,30172179,1,30177697
2018,30172180,1,30172670
2018,30162225,1,30167702
2018,30167228,1,30177698
2018,30167236,1,30167709
2018,30172188,1,30172681
2018,30162230,1,30167714
2018,30172200,1,30172693
2018,30162257,7,30167740
2018,30172193,1,30172687
2018,30172191,1,30172686
2018,30167254,1,30167736
2018,30162260,1,30172717
2018,30162254,1,30177710
2018,30162256,1,30167739
2018,30167256,1,30177708
2018,30162253,1,30167738
2018,30167255,1,30177707
2018,30162270,1,30177721
2018,30172229,1,30177724
2018,30172227,1,30167750
2018,30167261,1,30177725
2018,30162275,1,30172730
2018,30162280,1,30167756
2018,30167266,1,30177732
2018,30172235,1,30172737
2018,30167267,1,30167759
2018,30162281,1,30172735
2018,30162283,1,30167757
2018,30172240,1,30167760
2018,30167268,1,30177734
2018,30172247,1,30177742
2018,30162303,1,30172756
2018,30172250,1,30177747
2018,30172251,1,30167767
2018,30172256,2,30177751
2018,30172258,1,30172758
2018,30172257,1,30167770
2018,30172265,1,30172767
2018,30162314,1,30167777
2018,30162316,1,30172769
2018,30167284,1,30177764
2018,30162319,1,30172772
2018,30167285,1,30172775
2018,30162332,1,30177769
2018,30162335,1,30177771
2018,30167289,1,30172781
2018,30172284,1,30172786
2018,30172285,1,30172789
2018,30167298,1,30167797
2018,30172295,1,30167800
2018,30162350,1,30177777
2018,30172302,1,30167807
2018,30167302,1,30172811
2018,30172306,1,30167809
2018,30172304,1,30177783
2018,30172305,1,30167808
2018,30162356,1,30177784
2018,30167331,1,30172841
2018,30162367,1,30172842
2018,30172330,1,30177805
2018,30162370,1,30177808
2018,30167334,8,30167825
2018,30167333,1,30172843
2018,30172336,1,30167826
2018,30162371,1,30167827
2018,30172339,1,30172852
2018,30172344,1,30172855
2018,30167338,1,30167839
2018,30172351,1,30172859
2018,30167345,1,30177824
2018,30172356,1,30167843
2018,30162386,1,30172861
2018,30162387,1,30172862
2018,30167353,1,30177830
2018,30167358,1,30172881
2018,30167360,1,30172884
2018,30167361,1,30167857
2018,30162402,1,30177837
2018,30172395,1,30172911
2018,30172400,1,30167875
2018,30172398,1,30177848
2018,30167374,1,30177847
2018,30172397,1,30172913
2018,30172396,1,30172912
2018,30162428,1,30177854
2018,30172406,1,30172923
2018,30167383,1,30177858
2018,30162434,1,30167884
2018,30162435,1,30167886
2018,30167388,1,30172929
2018,30162439,1,30172931
2018,30167391,1,30167891
2018,30162443,1,30167894
2018,30167395,1,30177869
2018,30162442,1,30172936
2018,30162444,7,30167896
2018,30167397,1,30167895
2018,30167396,1,30172937
2018,30172422,1,30177871
2018,30162448,1,30172940
2018,30172426,1,30167900
2018,30172425,1,30172939
2018,30167403,7,30172946
2018,30162454,1,30172945
2018,30167404,1,30167904
2018,30172443,1,30177881
2018,30172444,1,30177882
2018,30167411,1,30172965
2018,30162460,1,30172970
2018,30167414,8,30167910
2018,30172458,1,30172979
2018,30172454,1,30172973
2018,30172462,1,30177891
2018,30167428,1,30177900
2018,30167429,1,30172992
2018,30172476,7,30172997
2018,30172478,1,30167928
2018,30172484,1,30173010
2018,30172485,1,30173014
2018,30172486,1,30167936
2018,30162494,1,30173016
2018,30162493,1,30173015
2018,30172490,1,30177913
2018,30172496,1,30167940
2018,30162501,8,30167943
2018,30172503,1,30173033
2018,30162501,7,30173034
2018,30167454,1,30177926
2018,30162512,1,30177928
2018,30162513,1,30173042
2018,30167463,1,30177938
2018,30167464,1,30167956
