"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2018,109937557,10,
2018,109933570,9,
2018,109895755,10,
2018,109905118,1,
2018,109934362,10,
2018,109924541,1,
2018,109937706,1,
2018,109929680,1,
2018,109925939,6,
2018,109906738,1,
2018,109932390,9,
2018,109933539,1,
2018,109904672,1,
2018,111382358,1,
2018,109904885,1,
2018,111382792,9,
2018,109932787,9,
2018,109896164,2,
2018,109900557,1,
2018,111376594,1,
2018,109904823,1,
2018,109936274,1,
2018,109936432,6,
2018,109937697,6,
2018,109932460,9,
2018,111377408,9,
2018,109933497,1,
2018,109924209,9,
2018,115132464,1,
2018,111386013,1,
2018,109903441,10,
2018,109934974,1,
2018,109937524,10,
2018,109895719,10,
2018,109923291,6,
2018,111381939,1,
2018,109937398,8,
2018,109899104,1,
2018,109900558,6,
2018,109899626,10,
2018,109906528,1,
2018,109899194,1,
2018,109903907,9,
2018,111933857,1,
2018,109924094,1,
2018,109933709,1,
2018,109891509,1,
2018,109893936,1,
2018,109889783,6,
2018,109929466,6,
2018,109926383,8,
2018,109932931,2,
2018,109933173,9,
2018,115126067,9,
2018,111377199,9,
2018,109930994,1,
2018,109931523,9,
2018,109888381,1,
2018,109930461,9,
2018,109931313,1,
2018,109899098,1,
2018,111929510,9,
2018,111929787,6,
2018,109928626,1,
2018,111937020,1,
2018,109932069,10,
2018,111382132,10,
2018,109927315,1,
2018,111936999,10,
2018,120301188,1,
2018,111930866,1,
2018,109886976,1,
2018,109935595,10,
2018,109903252,1,
2018,109922706,10,
2018,109935739,1,
2018,109895455,10,
2018,109898231,1,
2018,109929290,1,
2018,109929289,1,
2018,109901314,9,
2018,111941343,9,
2018,111929223,6,
2018,109906891,1,
2018,111386010,1,
2018,111386430,6,
2018,111386894,1,
2018,109923478,1,
2018,115126161,1,
2018,111381041,1,
2018,111376455,6,
2018,111377402,9,
2018,111387547,1,
2018,109928080,9,
2018,111931073,10,
2018,109902746,1,
2018,111934736,1,
2018,111930909,1,
2018,111376043,1,
2018,111377284,6,
2018,109902593,1,
2018,109925322,1,
2018,109898606,6,
2018,109927389,6,
2018,111941159,9,
2018,109924312,6,
2018,109898532,1,
2018,109906892,1,
2018,111377150,1,
2018,109936300,1,
2018,109891038,1,
2018,109935844,6,
2018,109935844,1,
2018,109928527,1,
2018,109929542,2,
2018,109935889,1,
2018,109899799,1,
2018,109900692,1,
2018,109903261,2,
2018,109928857,3,
2018,115127367,10,
2018,109923299,9,
2018,111381010,1,
2018,109895684,1,
2018,111925520,10,
2018,109932358,10,
2018,111929866,1,
2018,109929963,1,
2018,109934910,6,
2018,109895784,1,
2018,115132952,6,
2018,115132707,2,
2018,109904699,9,
2018,109899868,6,
2018,109924336,6,
2018,109929965,1,
2018,111387067,9,
2018,115120985,2,
2018,115127065,1,
2018,109899188,9,
2018,111386938,1,
2018,109933541,1,
2018,109936505,9,
2018,109927388,1,
2018,109935631,1,
2018,109900585,1,
2018,111377595,10,
2018,109895797,1,
2018,113005105,1,
2018,113005048,6,
2018,115125019,1,
2018,109929646,9,
2018,109907167,1,
2018,113013845,1,
2018,111930764,1,
2018,109928258,1,
2018,113013410,9,
2018,113013626,6,
2018,111930789,6,
2018,109932906,6,
2018,111377722,1,
2018,113013948,6,
2018,109906900,1,
2018,109906900,9,
2018,111376434,10,
2018,111386421,6,
2018,111377593,10,
2018,113008098,9,
2018,113012596,6,
2018,113004945,10,
2018,115132701,1,
2018,109936003,1,
