"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,12,105131385,1,1,9364396
2018,5,105131385,1,1,9362476
2018,5,105127889,1.2,1,9364413
2018,5,105134608,1,1,9364929
2018,12,105134457,,,9364889
2018,12,105134458,0.1,3,9364890
2018,5,105134642,1,1,9364940
2018,5,105134654,0.99,3,9363044
2018,11,105134657,1,9,9364945
2018,11,105133471,1,9,9363046
2018,3,105134684,1,1,9364949
2018,5,105134684,5,1,9364950
2018,12,105108228,1,1,9357347
2018,5,105124031,1,3,9358662
2018,17,105124031,1,11,9358663
2018,5,105128669,1,11,9358772
2018,5,105130081,1,1,9362218
2018,12,105126656,1,11,9364152
2018,5,105130190,0.01,3,9362261
2018,16,105130378,2,9,9362329
2018,5,107616239,,,9854905
2018,5,107608893,7.6,1,9860468
2018,5,107609058,1,1,9860493
2018,12,107611626,1.4,1,9863364
2018,12,107616878,1,1,9860594
2018,12,107616917,1,1,9860604
2018,15,107616946,1,9,9863417
2018,5,107612339,1,1,9863563
2018,5,107612345,1,3,9860720
2018,5,107620411,2,1,9860758
2018,5,107617538,11.51,1,9860772
2018,12,105159663,3.45,1,9367481
2018,5,105159663,6.87,1,9367480
2018,17,105156855,0.6,1,9375080
2018,12,105156855,1.7,1,9375079
2018,5,105156855,57.4,1,9375078
2018,5,105157078,1.5,1,9375113
2018,5,105107940,1,1,9357245
2018,5,105129367,1,3,9362040
2018,12,105126614,0.5,3,9364130
2018,12,105126658,2,1,9364153
2018,12,105130202,1,11,9364171
2018,5,105126919,0.57,3,9364248
2018,13,107616339,0.05,1,9860503
2018,1,107611329,1,11,9854926
2018,5,105141999,2.2,1,9363727
2018,5,105138500,2,3,9365682
2018,5,105141640,1,3,9363688
2018,5,105142025,15.4,1,9363730
2018,5,107616256,2,1,9860486
2018,5,107611265,5,1,9863301
2018,5,107616274,1,11,9860491
2018,5,107616277,37600,1,9860492
2018,13,107609137,20.82,1,9863317
2018,13,107616404,1,11,9860512
2018,5,107619276,0.1,1,9863338
2018,5,107611578,7.4,1,9854973
2018,5,107619775,1,1,9860606
2018,16,107619775,1,1,9863414
2018,5,107612393,1,3,9855152
2018,5,107612505,1,3,9855187
2018,8,107620420,,,9863607
2018,3,107612513,2,1,9863609
2018,5,107612513,30,1,9863610
2018,12,107620451,1,11,9855194
2018,12,107612636,1,9,9855226
2018,3,107612636,6,1,9855224
2018,12,107612658,1,11,9863660
2018,5,107612658,1,11,9863659
2018,5,107612715,2.2,1,9860821
2018,5,107612724,,,9863682
2018,5,107612728,0.5,3,9855249
2018,5,107620672,1,3,9863692
2018,12,107612847,1,11,9863714
2018,16,107612847,3,9,9863715
2018,8,107612847,32,9,9855277
2018,5,106759077,95,3,9727204
2018,4,106762217,1,1,9725172
2018,12,106762217,1,1,9727190
2018,5,106764307,0.01,3,9727197
2018,12,106762514,10,9,9727291
2018,5,106762564,1,9,9715694
2018,5,106764994,1,11,9715713
2018,5,106762654,0.2,1,9715717
2018,5,106339495,,,9650832
2018,5,106339475,1,1,9645823
2018,5,106344493,10717,1,9645824
2018,5,106339564,2,1,9655838
2018,5,106349554,1,1,9655840
2018,16,106339745,1,3,9655870
2018,5,106339908,2,1,9655881
2018,5,106339992,0.5,1,9645903
2018,12,106339992,222.5,1,9655897
2018,5,106349947,1.5,1,9650903
2018,5,106340104,1,1,9645937
2018,12,106345288,0.01,3,9645957
2018,3,106345350,77,9,9650931
2018,5,106345363,0.5,3,9645971
2018,5,106350228,1,11,9646000
2018,16,106350284,10,9,9646012
2018,5,106340344,1,3,9650964
2018,12,106340351,1,1,9646023
2018,5,106345700,1,1,9651000
2018,12,106345700,1,3,9651001
2018,12,106345811,0.5,1,9656024
2018,5,106345811,0.5,1,9651024
2018,5,106345815,0.5,1,9646086
2018,5,106340648,1,9,9651050
2018,12,106340765,1,1,9651075
2018,5,106350859,1,1,9651112
2018,5,106350861,9.5,1,9656092
2018,12,106341460,0.1,1,9651285
2018,12,106341475,1,11,9646320
2018,5,105141415,0.25,3,9363660
2018,5,105143593,1,11,9365693
2018,8,105143593,1,11,9365692
2018,5,105144085,1.4,1,9365752
2018,12,105143998,0.001,1,9365736
2018,5,105144142,8.7,1,9365775
2018,5,105127466,7.4,1,9364357
2018,12,105127536,0.001,1,9362436
2018,5,105131102,1,3,9362456
2018,5,105131163,2,3,9362460
2018,12,105131230,1,1,9362466
2018,16,105131230,1,11,9362467
2018,13,105140495,10,1,9363421
2018,5,105140602,1,11,9363443
2018,5,105137902,1,1,9365550
2018,5,105140632,14.3,1,9363452
2018,5,105140651,0.12,3,9363458
2018,12,105140726,0.5,3,9363484
2018,8,105134596,20,9,9363027
2018,3,105139406,31.2,1,9365085
2018,5,105133481,1,11,9363047
2018,12,105133495,1,9,9364952
2018,12,105138764,0.2,7,9365016
2018,5,105140738,5,1,9363496
2018,5,105139406,56,1,9363155
2018,5,105136078,2,1,9363174
2018,5,105136259,8.5,1,9365133
2018,5,105139761,1,3,9365147
2018,5,105136373,2,3,9365155
2018,5,105139859,1,3,9365191
2018,5,105139936,0.6,1,9363261
2018,12,105162589,1.1,1,9375652
2018,5,105164113,1,3,9375655
2018,13,105162904,1,11,9368116
2018,3,105162917,1,11,9375706
2018,17,105163021,,,9375716
2018,13,105163046,1,11,9368142
2018,1,105164548,1,1,9375727
2018,16,105164548,1,11,9375729
2018,5,105137105,0.001,3,9365339
2018,13,105164548,5,1,9375728
2018,5,105137836,1,3,9365528
2018,12,105141228,1,1,9363599
2018,12,105138349,0.5,3,9365649
2018,5,105138353,0.5,3,9365650
