"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2018,117646321,131246391
2018,117646345,131246430
2018,117641551,131246602
2018,117646466,131246602
2018,117646473,131235784
2018,117646640,131246773
2018,117646668,131246808
2018,117641775,131246836
2018,117641775,131235959
2018,117636000,131235966
2018,117641792,131246855
2018,117641874,131246946
2018,117636101,131247025
2018,117642041,131247119
2018,117642046,131242643
2018,117642048,131242643
2018,117642046,131242644
2018,117642050,131242643
2018,117651178,131247124
2018,117646919,131247135
2018,117642073,131247145
2018,117646924,131247145
2018,117646932,131242674
2018,117651198,131247160
2018,117651203,131242684
2018,117646947,131242690
2018,117646947,131242689
2018,117647129,131247383
2018,117647141,131242919
2018,117642322,131247401
2018,117647181,131247418
2018,117651362,131251376
2018,117651399,131243005
2018,123150526,136615688
2018,123162214,136623589
2018,123160658,136627487
2018,123162284,136616006
2018,123160899,136623955
2018,123171582,136628353
2018,123163201,136632567
2018,123171928,136628748
2018,123163504,136628879
2018,123163504,136625098
2018,123163504,136628880
2018,123167897,136629027
2018,117646639,131246768
2018,117641723,131246768
2018,117646648,131242374
2018,117635969,131242386
2018,117646663,131242395
2018,117641754,131242398
2018,117635978,131242398
2018,117646677,131242411
2018,117641767,131246826
2018,117635996,131242421
2018,117635997,131242421
2018,117641804,131235987
2018,117646812,131242549
2018,117646813,131242549
2018,117641939,131242555
2018,117641939,131242554
2018,117646890,131242615
2018,117642027,131247104
2018,117642027,131251156
2018,117651181,131242648
2018,117651181,131247129
2018,117646927,131242668
2018,117651204,131247169
2018,117642107,131251209
2018,117642107,131251211
2018,117651265,131247259
2018,117647020,131247261
2018,117647019,131247259
2018,117642326,131247402
2018,117647196,131247435
2018,117651375,131247435
2018,120178403,133698869
2018,120178652,133704095
2018,111385809,125135743
2018,111385809,125135742
2018,111385840,125135766
2018,111375887,125140781
2018,111385876,125130777
2018,111385889,125135840
2018,111385907,125140815
2018,111380923,125140827
2018,111380923,125140828
2018,111375977,125130865
2018,111381020,125140909
2018,111381020,125130875
2018,111381055,125140933
2018,111376036,125130924
2018,111381072,125140954
2018,111376076,125130961
2018,111386043,125130985
2018,111381102,125130985
2018,111381114,125136025
2018,111381116,125130993
2018,111381120,125136041
2018,111381135,125141017
2018,111386069,125136064
2018,111376150,125131023
2018,111376162,125136072
2018,111376161,125136072
2018,111386083,125136077
2018,111386083,125131043
2018,111376181,125136086
2018,111386095,125136098
2018,111376201,125136107
2018,111381228,125131115
2018,111386139,125141094
2018,111376263,125141098
2018,111386157,125136180
2018,111376293,125136193
2018,111376312,125131174
2018,111381284,125131194
2018,111376333,125141144
2018,111386201,125136230
2018,111376351,125136241
2018,111376351,125131208
2018,111376354,125131213
2018,111381310,125131218
2018,111381310,125131219
2018,111381356,125136307
2018,111381357,125141226
2018,111386278,125141226
2018,111376424,125141226
2018,111381379,125136322
2018,111376447,125136327
2018,111381391,125136335
2018,111376514,125136371
2018,111386336,125141297
2018,111386343,125141297
2018,111376521,125131366
2018,111376519,125141296
2018,111376516,125141297
2018,111381423,125141297
2018,111376521,125131365
2018,111386354,125141311
2018,111381436,125136381
2018,111376535,125136389
2018,111376535,125131394
2018,111376543,125136395
2018,111381449,125136398
2018,111376548,125131404
2018,111381464,125141331
2018,111386379,125141331
2018,111376567,125141331
2018,111376567,125141332
2018,111386394,125131446
2018,111386407,125131464
2018,111381489,125141372
2018,111381491,125131481
2018,111386435,125136457
2018,111386447,125136470
2018,111386458,125131537
2018,111376661,125141415
2018,111386461,125141415
2018,111386464,125141415
2018,111386482,125131557
2018,111381557,125141442
2018,111376711,125136533
2018,111376711,125136532
2018,111376721,125131607
2018,111386519,125141462
2018,111386537,125131636
2018,111386545,125136584
2018,111381622,125141496
2018,111381627,125141501
2018,111381638,125141517
2018,111381676,125136661
2018,111386679,125136738
2018,111386698,125141632
2018,111377004,125131884
2018,111377004,125131886
2018,111377016,125141648
2018,111386720,125141654
2018,111386726,125136776
2018,111377035,125141667
2018,111377046,125136792
2018,111386737,125131933
2018,111386766,125141699
2018,111377109,125131983
2018,111381815,125136846
2018,111381815,125136849
2018,111386789,125132001
2018,111386804,125132013
2018,111386807,125141738
2018,111381836,125132020
2018,111386810,125141743
2018,111386810,125132024
2018,111386816,125136880
2018,111386822,125132033
2018,111381862,125132037
2018,111386840,125132045
2018,111386840,125132046
2018,111377177,125141787
2018,111381889,125141797
2018,111381928,125141848
2018,111381928,125141847
2018,111386964,125132185
2018,111381979,125132185
2018,111386977,125132191
2018,111381991,125132199
2018,111381991,125132200
2018,111382012,125132221
2018,111377386,125141961
2018,111382068,125137129
2018,111382082,125142002
2018,111382082,125142003
2018,111382094,125142025
2018,111382099,125137165
2018,111377465,125142046
2018,111387145,125142102
2018,111387148,125132403
2018,111377543,125132417
2018,111377543,125137233
2018,111377553,125142151
2018,111382211,125132477
2018,111382211,125132476
2018,111382229,125142222
2018,111382229,125132497
2018,111387257,125142231
2018,111382248,125132513
2018,111387274,125137338
2018,111377678,125137396
2018,111382316,125137396
2018,111382317,125137395
2018,111382341,125132593
2018,111382341,125132592
2018,111377704,125142342
2018,111387356,125142351
2018,111382359,125137426
2018,111382369,125132625
2018,111382375,125142388
2018,111377740,125142387
2018,111382377,125137443
2018,111387401,125132646
2018,111377755,125142410
