"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2018,123163530,126612080,4,37947510
2018,123172079,126612077,16,37947511
2018,123163530,126612077,5,37952909
2018,123172079,126612079,16,37952911
2018,123163530,126612079,25,37952910
2018,123172079,126612080,16,37952912
2018,123167821,126616419,3,37952925
2018,123167158,126607907,3,37947335
2018,111386025,114714905,24,33784129
2018,111381360,114725147,4,33774266
2018,111381360,114715243,5,33784276
2018,111386317,114715309,19,33784286
2018,111381425,114715337,3,33774304
2018,111381535,114720479,3,33779268
2018,111386620,114715727,1,33774448
2018,111386618,114715727,1,33774445
2018,111386620,114715726,1,33774447
2018,111386618,114715726,1,33774444
2018,111377071,114725586,16,33774497
2018,111386851,114725684,1,33774539
2018,111377253,114716077,14,33784473
2018,111386961,114716127,16,33774566
2018,111386960,114725779,16,33779399
2018,111386961,114725779,25,33779400
2018,111386960,114716127,25,33779398
2018,111386986,114716160,3,33779407
2018,111381995,114716160,1,33779406
2018,111387049,114716255,3,33774623
2018,111387183,114721192,16,33779462
2018,111387182,114721192,16,33774676
2018,111377586,114726010,16,33774688
2018,111387219,114726015,16,33779480
2018,111382246,114716469,16,33784575
2018,111382265,114716482,21,33784584
2018,111382325,114726142,24,33784604
2018,111377707,114716556,1,33784615
2018,111387432,114726274,18,33779567
2018,111382414,114726293,18,33779588
2018,111377810,114726336,17,33779603
2018,111377818,114726342,18,33779606
2018,111377818,114716668,18,33774777
2018,111377818,114721460,18,33774778
2018,111377828,114716682,1,33774780
2018,111377864,114726418,16,33784682
2018,111382506,114716721,18,33779638
2018,111387596,114721535,1,33774795
2018,111382611,114716851,12,33774831
2018,111380841,114724677,1,33779044
2018,111380841,114719711,1,33784059
2018,111380913,114724734,19,33784068
2018,111380956,114714772,9,33774080
2018,111381071,114714898,1,33784123
2018,111381078,114719950,9,33784132
2018,111386035,114724870,3,33779099
2018,111376195,114715029,1,33779119
2018,111376197,114720053,1,33779121
2018,111376195,114720053,25,33774179
2018,111376197,114715029,25,33774181
2018,111376277,114715101,19,33774197
2018,111381282,114715149,5,33774216
2018,111386252,114725119,1,33779172
2018,111376438,114715256,3,33774276
2018,111386303,114715292,17,33784283
2018,111381415,114720321,24,33774293
2018,111381415,114725194,24,33784288
2018,111381415,114720323,24,33784289
2018,111381415,114725198,24,33784290
2018,111386328,114720332,1,33774294
2018,111386329,114720332,1,33779214
2018,111386350,114720356,1,33774319
2018,111386350,114720357,1,33779231
2018,111386350,114725226,1,33779232
2018,111376540,114715355,15,33784314
2018,111386578,114725417,10,33779307
2018,111376895,114720662,24,33774452
2018,111376935,114725498,5,33774464
2018,111386655,114725498,26,33774463
2018,111381728,114725508,21,33774468
2018,111376954,114720696,24,33779328
2018,111381756,114725545,16,33774478
2018,111381773,114725565,17,33784420
2018,111377063,114715892,3,33784428
2018,111377064,114715892,16,33774495
2018,111377084,114720788,5,33774504
2018,111386752,114720788,5,33774505
2018,111377082,114720788,5,33774501
2018,111386751,114720788,5,33774503
2018,111381800,114720788,5,33784430
2018,111386758,114715914,21,33784431
2018,111377117,114725621,1,33779351
2018,111377117,114715936,24,33779350
2018,111386806,114720840,1,33779353
2018,111377180,114716013,1,33784457
2018,111386880,114716042,3,33774546
2018,111377228,114720926,16,33779383
2018,111377278,114720975,16,33779394
2018,111377286,114716117,19,33779396
