"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2018,21,126769932
2018,21,126769957
2018,21,126775925
2018,21,126780571
2018,21,126770024
2018,21,126775980
2018,21,126775989
2018,21,126770056
2018,21,126780615
2018,21,126780623
2018,21,123600570
2018,21,123634581
2018,21,123634629
2018,21,123634643
2018,21,123630031
2018,21,123634665
2018,21,123630049
2018,21,123630050
2018,21,123634663
2018,21,123635115
2018,21,123630357
2018,21,123635208
2018,21,123630477
2018,21,126767429
2018,21,126767453
2018,21,126777401
2018,21,126767466
2018,21,126779030
2018,21,126779050
2018,21,126768848
2018,21,126779059
2018,21,126768861
2018,21,126768867
2018,21,126774620
2018,21,126768940
2018,21,126779159
2018,21,126774671
2018,21,126774703
2018,21,126779194
2018,21,126779195
2018,21,126774727
2018,21,126768993
2018,21,126779247
2018,21,126779298
2018,21,126779327
2018,21,126779334
2018,21,126769122
2018,21,126769128
2018,21,126779346
2018,21,126779385
2018,21,126769251
2018,21,126774979
2018,21,126774987
2018,21,126779497
2018,21,126779505
2018,21,126779513
2018,21,126769320
2018,21,126779539
2018,21,126775054
2018,21,126775083
2018,21,126769422
2018,21,126779618
2018,21,126769430
2018,21,126779634
2018,21,126769448
2018,21,126769455
2018,21,126775144
2018,21,126775154
2018,21,126769465
2018,21,126769464
2018,21,126775172
2018,21,126779682
2018,21,126775187
2018,21,126775201
2018,21,126779712
2018,21,126779714
2018,21,126769553
2018,21,126779749
2018,21,126779753
2018,21,126775247
2018,21,126775248
2018,21,126775254
2018,21,126775253
2018,21,126779785
2018,21,126775271
2018,21,126769574
2018,21,126775268
2018,21,126769582
2018,21,126779810
2018,21,126779833
2018,21,126769607
2018,21,126769606
2018,21,126775346
2018,21,126775353
2018,21,126779887
2018,21,126779954
2018,21,126779955
2018,21,126769663
2018,21,126775432
2018,21,126775455
2018,21,126769690
2018,21,126780033
2018,21,126769711
2018,22,126775487
2018,21,126769725
2018,21,126769732
2018,21,126769766
2018,21,126780112
2018,21,126775563
2018,21,126775569
2018,21,126780159
2018,21,126769794
2018,21,126775615
2018,21,126780190
2018,21,126780202
2018,21,126769809
2018,21,126775645
2018,21,126775644
2018,21,126780228
2018,21,126780235
2018,21,126780236
2018,21,126780262
2018,21,126780263
2018,21,126780274
2018,21,126775734
2018,21,126769858
2018,21,126769876
2018,21,126780357
2018,21,126775785
2018,21,126775791
2018,21,126780381
2018,21,126780403
2018,21,126780402
2018,21,126775814
2018,21,126769914
2018,21,126780418
2018,21,126780433
2018,21,126769930
2018,21,126775868
2018,21,126780486
2018,21,126770003
2018,21,126770010
2018,21,126775983
2018,21,126775982
2018,21,126780597
2018,21,126776021
2018,21,123643532
2018,21,123643545
2018,21,123643589
2018,21,123643586
2018,21,123643620
2018,21,123639125
2018,21,123643744
2018,21,123639187
2018,21,123639321
2018,21,123639320
2018,21,123639347
2018,21,123643952
2018,21,123639437
2018,21,123639470
2018,21,123639582
2018,21,123644135
2018,21,123644144
2018,21,123644194
2018,21,123644192
2018,21,123644289
2018,21,123639644
2018,21,123644319
2018,21,123644331
2018,21,123644345
2018,21,123639664
2018,21,123644363
2018,21,123644378
2018,21,123644402
2018,21,123644422
2018,21,123644460
2018,21,123644461
2018,21,123644478
2018,21,123639704
2018,21,123644518
2018,21,123639712
2018,21,123644551
2018,21,123644560
2018,21,123644642
2018,21,123644640
2018,21,123644762
2018,21,123644773
2018,22,123638941
2018,21,123639115
2018,21,123643626
2018,21,123643623
2018,21,123639008
2018,21,123639153
2018,21,123643750
2018,21,123643759
2018,21,123643758
2018,21,123643772
2018,21,123643927
2018,21,123639312
2018,21,123639311
2018,21,123643919
2018,21,123643936
2018,21,123643960
2018,21,123643985
2018,21,123639503
2018,21,123639505
2018,21,123681939
2018,21,123684701
2018,21,123681945
2018,21,123686485
2018,21,123686400
2018,21,123686413
2018,21,123684747
2018,21,123684768
2018,21,123684780
2018,21,123684807
2018,21,123686075
2018,21,123684859
2018,21,123684856
2018,21,123686494
2018,21,123649798
2018,21,123646481
2018,21,123686520
2018,21,123684909
2018,21,123646390
2018,21,123684939
2018,21,123646683
2018,21,123646557
2018,21,123646567
2018,21,123651472
2018,21,123651606
2018,21,123651608
2018,21,123651607
2018,21,123651800
2018,21,123651717
2018,21,123646700
2018,21,123646710
2018,21,123651759
2018,21,123646743
2018,21,123646823
2018,21,123646834
2018,21,123651888
2018,21,123651894
2018,21,123651895
2018,21,123651906
2018,21,123646923
2018,21,123646952
2018,21,123651998
2018,21,123652001
2018,21,123652020
2018,21,123647075
2018,21,123652055
2018,21,123652054
2018,21,123652079
2018,21,123686568
2018,21,123686624
2018,21,123685024
2018,21,123685038
2018,21,123647435
2018,21,123647624
2018,21,123652472
2018,21,123652505
2018,21,123686709
2018,21,123652526
2018,21,123647769
2018,21,123652564
2018,21,123686743
2018,21,123647837
2018,21,123652759
2018,21,123648180
2018,21,123652832
2018,21,123652830
2018,21,123648184
2018,21,123648298
2018,21,123648321
2018,21,123652871
2018,21,123652928
2018,21,123652944
2018,21,123652967
2018,21,123685138
2018,21,123685165
2018,21,123686777
2018,21,123648338
2018,21,123653058
2018,21,123648380
2018,21,123653068
2018,21,123653067
2018,21,123648400
2018,21,123685179
2018,21,123685190
2018,21,123653180
2018,21,123648508
2018,21,123648521
2018,21,123648782
2018,21,123648783
2018,21,123648556
2018,21,123653248
2018,21,123685208
2018,21,123648595
2018,21,123648629
2018,21,123653286
2018,21,123648667
2018,21,123653325
2018,21,123648722
2018,21,123648727
2018,21,123648764
2018,21,123648763
2018,21,123648773
2018,21,123648811
2018,21,123648810
2018,21,123653444
2018,21,123648863
2018,21,123653463
2018,21,123653467
2018,21,123648874
2018,21,123653487
2018,21,123653513
2018,21,123653522
2018,21,123648969
2018,21,123648970
2018,21,123653549
2018,21,123648986
2018,21,123653570
2018,21,123649017
2018,21,123653574
2018,21,123649040
2018,21,123653617
2018,21,123653627
2018,21,123649108
2018,21,123649152
2018,21,123653686
2018,21,123653684
2018,21,123649186
2018,21,123685257
2018,21,123649249
2018,21,123649250
2018,21,123653769
2018,21,123649315
2018,21,123649316
2018,21,123685269
2018,21,123685284
2018,21,123686881
2018,21,123685301
2018,21,123685336
2018,21,123687008
2018,21,123685401
2018,21,123685412
2018,21,123649803
2018,21,123649815
2018,21,123650049
2018,21,123649920
2018,21,123649931
2018,21,123654343
2018,21,123654254
2018,21,123649950
2018,21,123650456
2018,21,123651059
2018,21,123654342
2018,21,123654345
2018,21,123650066
2018,21,123685424
2018,21,123685471
2018,21,123655137
2018,21,123651044
2018,21,123685483
2018,21,123685498
2018,21,123650213
2018,21,123654467
2018,21,123686112
2018,21,123687702
2018,21,123686167
2018,21,123654504
2018,21,123650303
2018,21,123685515
2018,21,123687161
2018,21,123650531
2018,21,123654746
2018,21,123650554
2018,21,123650553
2018,21,123654761
2018,21,123654776
2018,21,123650589
2018,21,123654791
2018,21,123650612
2018,21,123650621
2018,21,123650626
2018,21,123650646
2018,21,123650656
2018,21,123650672
2018,21,123654877
2018,21,123685577
2018,21,123685581
2018,21,123687190
2018,21,123685600
2018,21,123685615
2018,21,123685637
2018,21,123650835
2018,21,123650883
2018,21,123650902
2018,21,123650910
2018,21,123655007
2018,21,123650986
2018,21,123650985
2018,21,123651071
2018,21,123651043
2018,21,123687264
2018,21,123651131
2018,21,123685662
2018,21,123685666
2018,21,123655270
2018,21,123655366
2018,21,123651140
2018,21,123651327
2018,21,123651328
2018,21,123685677
2018,21,123656406
2018,21,123656363
2018,21,123656426
2018,21,123655413
2018,21,123656461
2018,21,123656475
2018,21,123656479
2018,22,123656504
2018,21,123687308
2018,21,123685715
2018,21,123687324
2018,21,123687327
2018,21,123685775
2018,21,123685777
2018,21,123687383
2018,21,123685797
2018,21,123687420
2018,21,123687427
2018,21,123687426
2018,21,123687435
2018,21,123687487
2018,21,123685933
2018,21,123687554
2018,21,123687571
2018,21,123686009
2018,21,123686014
2018,21,123686022
2018,21,123687624
2018,21,123687622
2018,21,123686215
2018,21,123686214
2018,21,123687804
2018,21,123687828
2018,21,123686282
2018,21,123686283
2018,21,123687848
2018,21,123687905
2018,21,123691362
2018,21,123687915
2018,21,123687920
2018,21,123687928
2018,21,123687941
2018,21,123687951
2018,21,123687970
2018,21,123687976
2018,21,123691487
2018,21,123691488
2018,21,123691502
2018,21,123688050
2018,21,123691525
2018,21,123691527
2018,21,123691537
2018,21,123691547
2018,21,123688085
2018,21,123691560
2018,21,123688108
2018,21,123691569
2018,21,123691594
2018,21,123691638
2018,21,123688183
2018,21,123691668
2018,21,123691693
2018,21,123691702
2018,21,123691740
2018,21,123655721
2018,21,123656806
2018,21,123656851
2018,21,123656841
2018,21,123655813
2018,21,123656854
2018,21,123655853
2018,21,123655814
2018,21,123655919
2018,21,123655852
2018,21,123655981
2018,21,123655920
2018,21,123655959
2018,21,123655968
2018,21,123657018
2018,21,123655990
2018,21,123657039
2018,21,123656032
2018,21,123656036
2018,21,123657076
2018,21,123656064
2018,21,123657219
2018,21,123656139
2018,21,123657223
2018,21,123657222
2018,21,123656192
2018,21,123656197
2018,21,123656259
2018,21,123656202
2018,21,123657307
2018,21,123657316
2018,21,123656299
2018,21,123622894
2018,21,123622897
2018,21,123624196
2018,21,123620699
2018,21,123620698
2018,21,123624230
2018,21,123624237
2018,21,123633712
2018,21,123633762
2018,21,123634232
2018,21,123634284
2018,21,123629766
2018,21,123629791
2018,21,123634462
2018,21,123620693
2018,21,123620692
2018,21,123624184
2018,21,123624190
2018,21,123624189
2018,21,123624212
2018,21,123624222
2018,21,123620711
2018,21,123633773
2018,21,123634252
2018,21,123634251
2018,21,123634275
2018,21,123634303
2018,21,123629745
2018,21,123629759
2018,21,123634355
2018,21,123634409
2018,21,123629983
2018,21,123634599
2018,21,123634619
2018,21,123630037
2018,21,123634660
2018,21,123634698
2018,21,123634697
2018,21,123634742
2018,21,123630097
2018,21,123635119
2018,21,123635143
2018,21,123635295
2018,21,123635311
2018,21,123636177
2018,21,123636197
2018,21,123631182
2018,21,123637193
2018,21,123637628
2018,21,123637631
2018,21,123637674
2018,21,123637688
2018,21,123642500
2018,21,123638200
2018,21,123642974
2018,21,123642993
2018,21,123638347
2018,21,123638371
2018,21,123638380
2018,21,123638381
2018,21,123638393
2018,21,123643058
2018,21,123638430
2018,21,123638435
2018,21,123638434
2018,21,123643223
2018,21,123643220
2018,21,123638576
2018,21,123643230
2018,21,123638580
2018,21,123638578
2018,21,123643262
2018,21,123638630
2018,21,123638737
2018,21,123643387
2018,21,123643394
2018,21,123661355
2018,21,123657488
2018,21,123661429
2018,21,123657509
2018,21,123673173
2018,21,123673315
2018,21,123673459
2018,21,123665890
2018,21,123665999
2018,21,123665954
2018,21,123673772
2018,21,123673711
2018,21,123673728
2018,21,123673830
2018,21,123673915
2018,21,123673919
2018,21,123673922
2018,21,123666265
2018,21,123673949
2018,21,123673950
2018,21,123674168
2018,21,123676639
2018,21,123676659
2018,21,123674167
2018,21,123676683
2018,21,123674286
2018,21,123674292
2018,21,123676546
2018,21,123674305
2018,21,123674312
2018,21,123674311
2018,21,123674585
2018,21,123674382
2018,21,123674496
2018,21,123674495
2018,21,123676699
2018,21,123674532
2018,21,123674535
2018,21,123674544
2018,21,123674810
2018,21,123674590
2018,21,123674719
2018,21,123674733
2018,21,123674740
2018,21,123674757
2018,21,123674775
2018,21,123677120
2018,21,123674827
2018,21,123676958
2018,21,123674851
2018,21,123674857
2018,21,123677016
2018,21,123677047
2018,21,123675027
2018,21,123677124
2018,21,123677127
2018,21,123677145
2018,21,123675003
2018,21,123677159
2018,21,123677801
2018,21,123677189
2018,21,123677190
2018,21,123675041
2018,21,123677261
2018,21,123677262
2018,21,123677280
2018,21,123677283
2018,21,123677282
2018,21,123677330
2018,21,123677331
2018,21,123677332
2018,21,123677338
2018,21,123675243
2018,21,123677384
2018,21,123677385
2018,21,123675280
2018,21,123677421
2018,21,123675317
2018,21,123675327
2018,21,123675347
2018,21,123677507
2018,21,123677513
2018,21,123677576
2018,21,123675508
2018,21,123675527
2018,21,123675529
2018,21,123677600
2018,21,123675553
2018,21,123677714
2018,21,123666752
2018,21,123675695
2018,21,123677802
2018,21,123675778
2018,21,123675820
2018,21,123678121
2018,21,123676096
2018,21,123675840
2018,21,123666751
2018,21,123675861
2018,21,123675869
2018,21,123677911
2018,21,123677917
2018,21,123675892
2018,21,123675898
2018,21,123677976
2018,21,123675955
2018,21,123675968
2018,21,123675971
2018,21,123675979
2018,21,123678047
2018,21,123678048
2018,21,123678046
2018,21,123676050
2018,21,123681542
2018,21,123676147
2018,21,123678201
2018,21,123678207
2018,21,123666783
2018,21,123676184
2018,21,123676196
2018,21,123678239
2018,21,123678240
2018,21,123678252
2018,21,123678259
2018,21,123676242
2018,21,123678281
2018,21,123678305
2018,21,123676289
2018,21,123676292
2018,21,123676293
2018,21,123676297
2018,21,123678322
2018,21,123678335
2018,21,123678343
2018,21,123678371
2018,21,123681357
2018,21,123678428
2018,21,123681461
2018,21,123678505
2018,22,123678504
2018,21,123678526
2018,21,123678530
2018,21,123678552
2018,21,123681576
2018,21,123678554
2018,21,123678617
2018,21,123678646
2018,21,123678683
2018,21,123678687
2018,21,123681783
2018,21,123681790
2018,21,123681803
2018,21,123678713
2018,21,123681811
2018,21,123681820
2018,21,123624202
2018,21,123620723
2018,21,123633786
2018,21,123633796
2018,21,123634249
2018,21,123634242
2018,21,123629707
2018,21,123634310
2018,21,123634307
2018,21,123634332
2018,21,123634344
2018,21,123629800
2018,21,123629986
2018,21,123634605
2018,21,123630042
2018,21,123630068
2018,21,123630067
2018,21,123630095
2018,21,123634753
2018,21,123634757
2018,21,123630387
2018,21,123635183
2018,21,123630462
2018,21,123635321
2018,21,123635322
2018,21,123636136
2018,21,123631183
2018,21,123631191
2018,21,123642454
2018,21,123637683
2018,21,123642718
2018,21,123642721
2018,21,123642731
2018,21,123642742
2018,21,123643002
2018,21,123638385
2018,21,123638410
2018,21,123638450
2018,21,123638474
2018,21,123638490
2018,21,123638513
