"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,30625062,102939400,1,02-NOV-18,1,"N",27,5,36,"M",2,2,"R","","",36,0
2018,30625081,102939491,1,26-DEC-18,2,"N",16,5,16,"M",2,2,"R","R","",16,0
2018,30621394,102939498,1,28-DEC-18,1,"N",51,5,35,"M",1,2,"N","","",35,0
2018,30621396,102939498,4,28-DEC-18,1,"N",51,5,29,"M",2,2,"R","","",29,0
2018,30625091,102939573,2,08-OCT-18,1,"N",51,5,30,"F",1,2,"R","","",30,0
2018,30621433,102935535,3,23-OCT-18,1,"N",51,5,38,"F",1,1,"R","","",38,0
2018,30625120,102939620,2,28-OCT-18,1,"N",51,5,34,"F",1,2,"R","","",34,0
2018,30621452,102935578,4,01-NOV-18,1,"N",51,5,22,"F",1,2,"R","","",22,0
2018,30608489,102935578,5,01-NOV-18,1,"N",51,5,27,"M",1,2,"R","","",27,0
2018,30608499,102939662,1,05-NOV-18,1,"N",35,5,34,"M",1,2,"R","","",34,0
2018,30608507,102939712,1,20-DEC-18,2,"N",16,5,23,"M",1,2,"N","","",23,0
2018,30620012,102933066,1,14-DEC-18,1,"N",27,5,36,"M",1,1,"R","","",36,0
2018,30607352,102937491,1,11-DEC-18,1,"N",51,5,40,"M",1,2,"R","","",40,0
2018,30623999,102941096,1,16-DEC-18,1,"N",16,5,19,"F",2,2,"R","","",19,0
2018,30624003,102941105,1,23-DEC-18,2,"N",51,5,51,"F",1,2,"R","","",51,0
2018,30620091,102933302,1,12-OCT-18,3,"N",51,5,53,"M",1,2,"R","","",53,0
2018,30620090,102941147,1,02-OCT-18,1,"N",16,5,24,"M",1,2,"R","","",24,0
2018,30624011,102941147,2,02-OCT-18,1,"N",16,5,22,"M",1,2,"R","","",22,0
2018,30620112,102933342,1,23-OCT-18,2,"N",23,5,42,"F",1,2,"N","","",42,0
2018,30620120,102933360,1,30-OCT-18,2,"N",5,5,21,"F",1,2,"N","","",21,0
2018,30624037,102937579,1,04-NOV-18,2,"N",46,5,20,"M",1,2,"N","","",20,0
2018,30620141,102937610,1,15-NOV-18,1,"N",16,5,59,"F",1,2,"R","","",59,0
2018,30624081,102937685,2,30-OCT-18,2,"N",23,5,13,"M",1,2,"R","H","",13,0
2018,30607427,102937685,1,07-NOV-18,2,"N",23,5,13,"M",1,2,"R","H","",13,0
2018,30620185,102937705,1,19-NOV-18,3,"N",16,5,35,"M",1,2,"R","","",35,0
2018,30607471,102937793,1,21-AUG-18,2,"N",16,5,31,"M",1,2,"R","","",31,0
2018,30624119,102937797,1,29-AUG-18,2,"N",16,5,35,"M",1,2,"N","","",35,0
2018,30620247,102941405,2,10-OCT-18,2,"N",23,5,39,"F",1,2,"R","","",39,0
2018,30607481,102941405,1,10-OCT-18,2,"N",23,5,36,"M",1,2,"R","","",36,0
2018,30607493,102937837,1,14-DEC-18,2,"N",23,5,38,"M",1,1,"R","","",38,0
2018,30620281,102937854,2,05-NOV-18,1,"N",48,5,28,"M",1,2,"N","","",28,0
2018,30624146,102937854,1,02-NOV-18,3,"C",48,5,29,"M",3,2,"N","","",29,0
2018,30624164,102941472,1,15-NOV-18,1,"N",21,5,38,"M",1,1,"R","","",38,0
2018,30624182,102937905,1,20-NOV-18,2,"N",23,5,16,"M",1,2,"R","H","",16,0
2018,29654944,100199041,1,19-FEB-18,1,"C",51,5,34,"F",1,1,"R","","",34,0
2018,29654963,100199089,1,01-MAR-18,2,"N",23,5,23,"F",1,2,"R","","",23,0
2018,29655974,100199253,1,15-JAN-18,2,"N",23,5,33,"F",1,2,"N","","",33,0
2018,29656020,100199397,2,21-JAN-18,2,"N",48,5,18,"M",1,2,"R","","",18,0
2018,29656021,100199397,1,21-JAN-18,3,"N",16,5,19,"M",1,2,"R","","",19,0
2018,29655035,100199470,1,11-FEB-18,2,"N",5,5,14,"F",1,1,"R","R","",14,0
