"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2018,6,123656806
2018,9,123656854
2018,6,123655721
2018,6,123655853
2018,6,123655852
2018,6,123655990
2018,6,123655919
2018,9,123655968
2018,9,123655981
2018,9,123656036
2018,9,123657222
2018,6,123656139
2018,6,123656202
2018,9,123657307
2018,9,123622916
2018,9,123619668
2018,9,123634241
2018,6,123630053
2018,6,123630054
2018,9,123638006
2018,9,123642776
2018,6,123638665
2018,8,123643323
2018,6,123643509
2018,6,123657305
2018,6,123638903
2018,9,123651761
2018,9,123638900
2018,6,123646712
2018,6,123651746
2018,3,123651746
2018,7,123651746
2018,6,123651835
2018,6,123651832
2018,6,123651831
2018,8,123646851
2018,6,123646873
2018,6,123646872
2018,6,123657031
2018,6,123657030
2018,9,123657158
2018,6,123657304
2018,9,123673173
2018,6,123673711
2018,6,123673919
2018,9,123673949
2018,3,123674851
2018,8,123674167
2018,6,123674496
2018,6,123674495
2018,6,123674532
2018,8,123674532
2018,6,123674535
2018,3,123677016
2018,9,123677047
2018,6,123677261
2018,6,123677262
2018,6,123677283
2018,6,123677282
2018,6,123677384
2018,6,123677385
2018,6,123677421
2018,6,123675347
2018,6,123677513
2018,9,123677576
2018,9,123675529
2018,9,123677600
2018,6,123677801
2018,6,123677802
2018,8,123675778
2018,6,123666752
2018,6,123666751
2018,9,123675861
2018,6,123675869
2018,6,123677911
2018,2,123677976
2018,9,123675955
2018,9,123675968
2018,9,123675971
2018,6,123678047
2018,9,123678048
2018,9,123676096
2018,9,123666783
2018,9,123676184
2018,6,123678239
2018,6,123678240
2018,3,123678259
2018,8,123676242
2018,6,123678281
2018,8,123678305
2018,8,123676289
2018,9,123676293
2018,8,123678322
2018,9,123678343
2018,6,123678505
2018,6,123678504
2018,6,123681576
2018,6,123678554
2018,6,123678617
2018,7,123678646
2018,6,123678687
2018,9,123678713
2018,9,123681811
2018,9,123681820
2018,6,123656794
2018,6,123639089
2018,6,123656688
2018,6,123656687
2018,6,123639010
2018,9,123639197
2018,6,123644648
2018,6,123656700
2018,9,123655675
2018,9,123655680
2018,9,123656771
2018,6,123644242
2018,6,123644244
2018,6,123644313
2018,6,123639646
2018,9,123644444
2018,9,123644485
2018,6,123644650
2018,8,123655725
2018,9,123656770
2018,6,123655740
2018,9,123656969
2018,9,123656320
2018,6,123657441
2018,9,123655898
2018,9,123655902
2018,6,123651736
2018,9,123657024
2018,9,123657026
2018,9,123656007
2018,6,123651735
2018,6,123657053
2018,9,123657072
2018,9,123646722
2018,6,123651789
2018,6,123651788
2018,9,123646792
2018,9,123646861
2018,9,123646904
2018,6,123657105
2018,6,123656069
2018,9,123656071
2018,9,123657119
2018,9,123657175
2018,9,123657376
2018,6,123657440
2018,9,123657468
2018,6,123661434
2018,9,123673387
2018,6,123677154
2018,9,123673370
2018,8,123674165
2018,6,123674127
2018,8,123674193
2018,9,123666684
2018,6,123674320
2018,6,123676589
2018,6,123676590
2018,6,123674380
2018,6,123674379
2018,6,123674457
2018,6,123674455
2018,6,123676680
2018,6,123674463
2018,6,123674464
2018,6,123674563
2018,6,123674605
2018,6,123674604
2018,9,123677041
2018,9,123675687
2018,6,123674950
2018,9,123677058
2018,6,123677176
2018,6,123677649
2018,6,123674949
2018,6,123677217
2018,6,123677219
2018,9,123675075
2018,6,123675102
2018,6,123675103
2018,6,123675126
2018,6,123675127
2018,6,123675132
2018,7,123675132
2018,8,123675132
2018,6,123675131
2018,7,123675131
2018,3,123675175
2018,6,123677376
2018,6,123675241
2018,2,123675247
2018,6,123675306
2018,6,123675307
2018,6,123675364
2018,6,123675363
2018,6,123675413
2018,6,123677520
2018,6,123675414
2018,6,123677534
2018,9,123675535
2018,9,123677595
