"DATA_YEAR","VICTIM_ID","INJURY_ID"
2018,111385909,4
2018,111385933,4
2018,111385933,8
2018,111387178,4
2018,111387179,4
2018,111377611,5
2018,111382234,5
2018,111382255,5
2018,111382262,5
2018,111375906,4
2018,111385916,5
2018,111375976,5
2018,111381001,4
2018,111381043,4
2018,111386005,4
2018,111381155,5
2018,111381194,4
2018,111376322,5
2018,111386256,5
2018,111386266,4
2018,111376437,4
2018,111381389,4
2018,111386297,4
2018,111376450,4
2018,111376601,5
2018,111381531,4
2018,111386521,5
2018,111376828,5
2018,111386589,5
2018,111386669,4
2018,111376963,4
2018,111376966,5
2018,111381905,5
2018,111381926,5
2018,111377288,4
2018,111377363,4
2018,111377551,5
2018,111382305,5
2018,111382339,4
2018,111377842,4
2018,111377853,4
2018,111377873,5
2018,111382520,4
2018,111382529,4
2018,111387732,4
2018,111378014,4
2018,111378055,4
2018,111387876,4
2018,115120741,4
2018,115125294,4
2018,115120985,4
2018,115126127,4
2018,115126043,4
2018,115126094,5
2018,115131278,5
2018,115131354,5
2018,115132741,4
2018,115132942,4
2018,115127321,4
2018,115127404,4
2018,111376145,5
2018,111376416,5
2018,111381352,4
2018,111381353,4
2018,111386271,4
2018,111376472,4
2018,111381522,5
2018,111376649,4
2018,111381549,5
2018,111376806,4
2018,111386677,5
2018,111381881,5
2018,111377235,4
2018,111377251,4
2018,111377301,4
2018,111382003,5
2018,111377329,4
2018,111377573,5
2018,111387242,4
2018,111377621,5
2018,111377639,5
2018,111382311,4
2018,111382332,4
2018,111377756,5
2018,111382443,4
2018,111387499,5
2018,111377891,4
2018,111387612,4
2018,111387701,4
2018,111387705,4
2018,111387822,5
2018,111378098,4
2018,111387925,4
2018,111378188,4
2018,111378126,4
2018,111378616,4
2018,111383265,5
2018,111929527,4
2018,111929524,4
2018,111929669,4
2018,111925825,4
2018,111925826,5
2018,111934815,4
2018,111941289,5
2018,111934977,5
2018,111934975,5
2018,111941395,5
2018,111941425,5
2018,111941423,5
2018,111375833,5
2018,111380856,4
2018,111380905,4
2018,111376009,4
2018,111386161,5
2018,111376349,4
2018,111386344,5
2018,111381672,5
2018,111381790,4
2018,111386773,5
2018,111381812,5
2018,111377234,4
2018,111381996,5
2018,111381997,5
2018,111377404,5
2018,111387068,5
2018,111377446,4
2018,111377548,2
2018,111377548,8
2018,111382212,5
2018,111382218,5
2018,111387391,4
2018,111382413,5
2018,111382415,5
2018,111377836,4
2018,111387548,5
2018,111382493,4
2018,111387555,4
2018,111378037,4
2018,111929295,4
2018,111925545,4
2018,111933730,4
2018,111933814,4
2018,111925640,4
2018,111925745,5
