"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2018,107612304,102942173,4,,
2018,107612306,102942177,7,,
2018,107620236,102934400,4,,
2018,107612310,102934404,7,,
2018,107612313,102942186,7,,
2018,107612317,102934405,5,,
2018,107620243,102934405,7,,
2018,107612323,102942198,4,,
2018,107612326,102934411,4,,
2018,107620253,102934415,4,,
2018,107617352,102938574,7,,
2018,107612340,102942215,6,,
2018,107620260,102934423,7,,
2018,107620736,102934926,7,,
2018,107620734,102934926,4,,
2018,107620737,102939075,6,,
2018,107620743,102934933,7,,
2018,107612822,102934937,7,,
2018,107620747,102934941,7,,
2018,107617803,102934939,6,,
2018,107617805,102939089,6,,
2018,107612828,102942774,7,1,
2018,107612832,102939091,7,,
2018,107612833,102939092,7,1,
2018,107612831,102939092,5,,1
2018,107617807,102934948,4,,
2018,107612839,102942778,6,,
2018,107620751,102939095,6,,
2018,107620750,102934950,4,,
2018,107617808,102942780,7,,
2018,107612843,102942784,7,,
2018,107612845,102934955,6,,
2018,107617811,102934955,5,,
2018,107620754,102942785,4,,
2018,107612846,102934956,4,,
2018,107612848,102939101,6,,
2018,107620758,102934959,1,,
2018,107620759,102942790,6,,
2018,107612851,102934962,7,,
2018,107617817,102934962,4,,
2018,107620766,102934967,7,,
2018,107620768,102934968,4,,
2018,107617820,102942795,7,,
2018,107620775,102934973,7,,
2018,107620774,102942801,7,,
2018,107612864,102934980,7,,
2018,107620779,102934981,6,,
2018,107617837,102942807,7,,
2018,107620786,102934984,7,,
2018,107620788,102939131,4,,
2018,107620790,102934991,7,,
2018,107620805,102939149,4,,
2018,107617855,102935013,4,,
2018,107617854,102942823,7,,
2018,107620813,102935016,7,,
2018,107620815,102935017,6,,
2018,107612884,102935019,6,,
2018,107617862,102939167,6,,
2018,107617867,102935024,7,,
2018,107617864,102935024,5,,
2018,107620823,102935027,6,,
2018,107617870,102942829,6,,
2018,107617872,102935029,6,,
2018,107617878,102939183,7,,
2018,107617877,102935032,7,,
2018,107617876,102935032,3,,
2018,107617882,102939191,7,,
2018,107620838,102939194,7,,
2018,107620836,102939192,6,,
2018,107612895,102942835,7,,
2018,107620845,102939199,7,,
2018,107612898,102935044,6,,
2018,107620850,102942840,6,,
2018,107617888,102939204,6,,
2018,107617894,102942847,7,,
2018,107620866,102935064,7,,
2018,107612909,102935068,7,,
2018,107612912,102942856,7,,
2018,107617907,102939219,7,,
2018,107612913,102939219,4,,
2018,107620876,102935074,7,,
2018,107620877,102939220,7,,
2018,107617908,102935078,6,,
2018,107617909,102935079,7,,
2018,107620879,102942860,7,,
2018,107617911,102939223,6,,
2018,107617915,102935082,1,,
2018,107620883,102935083,7,,
2018,107617916,102939225,7,,
2018,107617914,102939225,5,,
2018,107620885,102935088,7,,
2018,107620887,102935092,5,,
2018,107620888,102935092,7,,
2018,107617920,102935091,6,,
2018,107620891,102935096,7,,
2018,107612920,102942865,7,,
2018,107617926,102935101,4,,
2018,107620896,102942868,7,,
2018,107612923,102942868,5,,
2018,107620897,102942869,5,,
2018,107612924,102942869,7,,
2018,107620901,102935104,7,,
2018,107617927,102935104,4,,
2018,107617929,102935105,4,,
2018,107620902,102939233,4,,
2018,107617931,102939233,7,,
2018,107612926,102942873,7,,
2018,107620904,102942873,4,,
2018,107617937,102939237,7,,
2018,107620905,102939237,4,,
2018,107617935,102935108,4,,
2018,107620908,102935110,7,,
2018,107620910,102935112,7,,
2018,107620907,102935112,5,,
2018,107620909,102935111,6,,
2018,107617938,102935113,7,1,
2018,107612929,102939239,7,,
2018,107612931,102942881,3,,
2018,107620911,102935114,7,,
2018,107617942,102935114,5,,
2018,107612930,102939243,3,,
2018,107620913,102939243,6,,
2018,107620918,102935116,7,,
2018,107620917,102935116,4,,
2018,107620919,102935120,4,,
2018,107620922,102935120,7,,
2018,107612936,102942885,7,,
2018,107620930,102939254,7,,
2018,107612937,102939254,4,,
2018,107620931,102935127,7,,
2018,107620933,102935128,7,,
2018,107612938,102935126,6,,
2018,107612943,102942889,7,,
2018,107612945,102942890,7,,
2018,107620934,102942890,5,,
2018,107620937,102935132,4,,
2018,107617955,102935133,5,,1
2018,107617956,102935133,7,1,
2018,107617959,102935135,7,,
2018,107612946,102935134,5,,1
2018,107612947,102935134,7,1,
2018,107612948,102935139,5,,
2018,107620943,102935139,7,,
2018,107617964,102939268,7,,
2018,107612950,102939268,4,,
2018,107612951,102935142,5,,1
2018,107617966,102935142,7,1,
2018,107620945,102935143,7,,
2018,107617962,102935138,4,,
2018,107620947,102939270,4,,
2018,107620951,102939277,6,,
2018,107617979,102939280,7,,
2018,107620953,102939279,6,,
2018,107617977,102942909,4,,
2018,107612956,102935149,7,,
2018,107617981,102935148,7,,
2018,107620958,102935154,7,,
2018,107617983,102935156,4,,
2018,107620960,102942915,6,,
2018,107620963,102942917,6,,
2018,107617991,102935165,4,,
2018,107617992,102935167,4,,
2018,107617994,102935168,6,,
2018,107617995,102935171,7,,
2018,107612966,102935172,7,,
2018,107620968,102935173,6,,
2018,107612965,102935173,4,,
2018,107612968,102942923,4,,
2018,107620978,102939305,7,,
2018,107618001,102935183,3,,
2018,107618010,102935193,4,,
2018,107618014,102935197,7,,
2018,107618013,102942931,6,,
2018,107618015,102935198,6,,
2018,107620994,102935200,6,,
2018,107612980,102939320,7,,
2018,107618018,102935199,6,,
2018,107612982,102942936,7,,
2018,107618022,102942942,4,,
2018,107618023,102935208,7,,
2018,107612986,102935206,7,,
2018,107618027,102935211,4,,
2018,107621002,102935210,4,,
2018,107618030,102942944,7,,
2018,107618032,102939335,7,,
2018,107621005,102939336,4,,
2018,107621006,102935216,4,,
2018,107621016,102935229,5,,
2018,107621017,102935229,7,,
2018,107621018,102935231,5,,1
2018,107618038,102935231,7,1,
2018,107618040,102939343,7,,
2018,107621022,102935236,7,,
