"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2018,1,123655623
2018,4,123656731
2018,4,123655679
2018,4,123656804
2018,4,123657058
2018,4,123655711
2018,4,123656853
2018,4,123656886
2018,4,123656978
2018,4,123657127
2018,4,123657122
2018,4,123657132
2018,3,123656090
2018,4,123656112
2018,4,123657548
2018,3,123661395
2018,4,123661396
2018,3,123657545
2018,4,126780373
2018,4,126780386
2018,4,126780393
2018,4,126775804
2018,4,126769932
2018,4,126769957
2018,4,126775925
2018,4,126780571
2018,4,126770024
2018,4,126775980
2018,4,126775989
2018,4,126770056
2018,4,126780615
2018,4,126780623
2018,3,126774455
2018,4,126768810
2018,4,126779029
2018,4,126768815
2018,4,126779034
2018,4,126768823
2018,4,126768826
2018,4,126779040
2018,4,126779039
2018,4,126779047
2018,4,126768832
2018,4,126779052
2018,4,126774599
2018,4,126774600
2018,4,126779058
2018,4,126768844
2018,4,126774601
2018,4,126779062
2018,4,126779063
2018,4,126774604
2018,4,126774603
2018,4,126768853
2018,4,126768854
2018,4,126768852
2018,4,126774606
2018,4,126779069
2018,4,126768860
2018,4,126768865
2018,4,126779072
2018,4,126779075
2018,4,126768864
2018,4,126768866
2018,4,126779079
2018,4,126768870
2018,4,126779087
2018,4,126768883
2018,4,126779092
2018,4,126768884
2018,4,126779096
2018,4,126768885
2018,4,126768887
2018,4,126779095
2018,4,126768886
2018,4,126768889
2018,4,126768888
2018,4,126779101
2018,4,126779102
2018,4,126768891
2018,4,126768896
2018,4,126768890
2018,4,126768893
2018,4,126768895
2018,4,126774612
2018,4,126779105
2018,4,126779106
2018,4,126768899
2018,4,126774613
2018,4,126779113
2018,4,126774615
2018,4,126774614
2018,4,126779110
2018,4,126768902
2018,3,126774622
2018,3,126774621
2018,4,126768907
2018,4,126779121
2018,3,126774624
2018,4,126768910
2018,4,126774632
2018,3,126774636
2018,4,126774637
2018,4,126779128
2018,3,126779123
2018,3,126779124
2018,4,126779131
2018,1,126774644
2018,4,126768914
2018,3,126774645
2018,3,126774646
2018,4,126774648
2018,1,126768917
2018,1,126768921
2018,1,126768923
2018,3,126768924
2018,3,126774653
2018,3,126768926
2018,4,126779148
2018,4,126768928
2018,3,126774661
2018,3,126774662
2018,4,126774663
2018,4,126768934
2018,3,126779154
2018,3,126779162
2018,3,126779163
2018,4,126779164
2018,4,126774677
2018,4,126779168
2018,4,126779169
2018,4,126774682
2018,4,126774681
2018,3,126768949
2018,3,126774679
2018,3,126774675
2018,3,126774674
2018,3,126774684
2018,3,126779171
2018,4,126768958
2018,4,126779177
2018,4,126768960
2018,4,126768959
2018,4,126768964
2018,4,126774697
2018,4,126768967
2018,4,126774700
2018,4,126779186
2018,4,126774705
2018,4,126768971
2018,4,126768970
2018,4,126774707
2018,4,126774706
2018,4,126779188
2018,4,126768976
2018,3,126768974
2018,3,126768975
2018,4,126774717
2018,4,126779196
2018,4,126774720
2018,4,126768984
2018,4,126779200
2018,4,126779202
2018,4,126779205
2018,4,126779206
2018,4,126768989
2018,4,126768986
2018,4,126779208
2018,4,126779207
2018,4,126768990
2018,4,126774725
2018,4,126768994
2018,4,126768995
2018,4,126768996
2018,4,126774728
2018,4,126768997
2018,4,126779218
2018,4,126769004
2018,4,126774736
2018,4,126779221
2018,4,126774737
2018,4,126769010
2018,4,126769009
2018,4,126769011
2018,4,126774743
2018,4,126769012
2018,4,126769015
2018,4,126779232
2018,4,126779230
2018,4,126779229
2018,4,126779233
2018,4,126779231
2018,4,126774749
2018,4,126779235
2018,4,126774752
2018,4,126779240
2018,4,126774756
2018,4,126774754
2018,3,126769026
2018,4,126774758
2018,4,126779241
2018,4,126769028
2018,4,126774763
2018,4,126779246
2018,4,126779248
2018,4,126774770
2018,4,126779257
2018,4,126779258
2018,4,126774774
2018,4,126774776
2018,4,126779262
2018,4,126774775
2018,4,126779266
2018,4,126779263
2018,4,126769044
2018,4,126779271
2018,4,126769047
2018,4,126779273
2018,3,126779276
2018,3,126779277
2018,4,126774782
2018,4,126779275
2018,4,126774786
2018,3,126769050
2018,4,131242072
2018,4,131242078
2018,4,131246412
2018,4,131246422
2018,4,131235727
2018,4,131246539
2018,4,131246541
2018,4,131235736
2018,4,131235771
2018,3,131242202
2018,3,131242201
2018,4,131246596
2018,4,131242214
2018,4,131235783
2018,2,131242211
2018,1,126779280
2018,3,126769053
2018,4,126769057
2018,3,126779283
2018,3,126774790
2018,3,126774793
2018,4,126774795
2018,4,126769064
2018,4,126774797
2018,4,126779292
2018,3,126769068
2018,3,126769076
2018,1,126769080
2018,3,126769078
2018,3,126774802
2018,4,126779305
2018,4,126769087
2018,4,126779310
2018,4,126774810
2018,4,126774811
2018,4,126779315
2018,4,126769095
2018,4,126769093
2018,4,126779314
2018,4,126769094
2018,4,126769102
2018,4,126779328
2018,4,126769114
2018,4,126774831
2018,4,126774830
2018,1,126774833
2018,3,126779337
2018,3,126769115
2018,4,126779341
2018,3,126774834
2018,3,126774835
2018,4,126774841
2018,4,126774842
2018,3,126769124
2018,3,126779342
2018,4,126769127
2018,3,126774839
2018,3,126774840
2018,4,126779347
2018,4,126774847
2018,4,126769132
2018,4,126769136
2018,4,126774858
2018,4,126769142
2018,4,126779365
2018,4,126779363
2018,4,126774863
2018,4,126774862
2018,4,126774871
2018,4,126779370
2018,4,126769150
2018,4,126769149
2018,4,126779379
2018,4,126774876
2018,4,126769161
2018,4,126769164
2018,4,126779387
2018,4,126779386
2018,4,126779394
2018,3,126779393
2018,3,126779391
2018,4,126769169
2018,4,126779400
2018,4,126769171
2018,4,126774890
2018,3,126774887
2018,3,126774888
2018,3,126769172
2018,3,126774889
2018,3,126774891
2018,4,126779405
2018,4,126779411
2018,2,126774902
2018,3,126774902
2018,4,126774901
2018,4,126779418
2018,2,126779419
2018,4,126769197
2018,1,126774908
2018,4,126779423
2018,3,126769199
2018,4,126774919
2018,4,126779427
2018,4,126779424
2018,4,126774930
2018,3,126779435
2018,4,126774935
2018,4,126769217
2018,4,126779445
2018,4,126774939
2018,4,126769218
2018,4,126779453
2018,4,126769224
2018,4,126769226
2018,4,126774948
2018,4,126769230
2018,4,126779462
2018,4,126769232
2018,4,126779464
2018,4,126769244
2018,3,126769247
2018,4,126779475
2018,4,126779483
2018,4,126779482
2018,4,126769253
2018,4,126774981
2018,4,126774980
2018,4,126769267
2018,4,126769274
2018,4,126769275
2018,4,126769278
2018,4,126779495
2018,4,126774988
2018,3,126769283
2018,3,126769281
2018,4,126769291
2018,4,126779509
2018,4,126774996
2018,4,126769293
2018,4,126769299
2018,3,126769301
