"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,106349672,4,100,28-SEP-18,114042223
2018,106344740,4,150,,114042225
2018,106339753,61,100,01-AUG-18,114037270
2018,106339753,6,38,01-AUG-18,114037268
2018,106344774,61,100,,114037271
2018,106344774,6,38,,114047182
2018,106344785,63,3000,20-AUG-18,114037286
2018,106344786,63,3000,,114042277
2018,106344802,36,160,,114037302
2018,106344802,63,740,,114042303
2018,106339811,36,200,,114042355
2018,106339815,51,0,,114042359
2018,106339836,19,3,26-AUG-18,114047269
2018,106349765,19,3,,114037365
2018,106349793,17,280,,114037397
2018,106349798,38,15,03-SEP-18,114037406
2018,106349795,38,400,,114037405
2018,106344886,38,15,,114042428
2018,106344928,7,200,,114042482
2018,106344941,20,884,,114037469
2018,106344949,16,20,09-AUG-18,114042505
2018,106344951,16,20,,114042509
2018,106344964,38,50,,114047390
2018,106344979,38,500,,114037504
2018,106345001,11,5,,114047428
2018,106345001,10,,,114037526
2018,106349895,22,0,,114047454
2018,106345029,63,0,25-AUG-18,114042599
2018,106349895,63,655,,114047456
2018,106349895,9,0,,114047452
2018,106345029,22,0,25-AUG-18,114042598
2018,106349895,20,80,,114047453
2018,106349894,38,300,,114047451
2018,106349895,61,900,,114047455
2018,106345038,16,30,,114042610
2018,106349905,38,300,,114047472
2018,107611875,16,30,,115691358
2018,107611875,34,300,,115695995
2018,106345072,38,100,,114042647
2018,106340018,10,50,,114042650
2018,107616950,50,12,,115695998
2018,106349943,10,,,114042698
2018,106345109,61,600,,114042704
2018,106349949,20,200,,114042705
2018,106345118,11,25,,114037653
2018,106345118,10,,,114037651
2018,106340047,38,250,,114037656
2018,106345138,38,300,,114047559
2018,106349984,61,110,,114047567
2018,106340071,66,40,21-SEP-18,114042753
2018,106349991,10,,,114037696
2018,106340074,66,40,,114042754
2018,106349990,38,150,,114037695
2018,106345182,11,20,,114037710
2018,106345182,10,,,114042778
2018,106345207,29,1000,,114037730
2018,106345210,36,40,,114042814
2018,106345210,16,175,,114037735
2018,106340109,11,1,,114047612
2018,106340133,61,13,,114042854
2018,106340133,19,1,,114042853
2018,106345245,61,13,02-AUG-18,114042851
2018,106345245,19,1,02-AUG-18,114037770
2018,106345256,3,5000,,114042862
2018,106350062,3,5000,12-AUG-18,114042861
2018,106345265,38,100,,114042869
2018,106345264,3,200,,114042868
2018,106345273,63,700,,114042877
2018,106345272,29,19000,,114042875
2018,106345320,26,80,,114042940
2018,106350142,10,,,114042965
2018,106345359,63,488,,114042992
2018,106345358,63,488,14-AUG-18,114042991
2018,106340217,15,5012,,114043006
2018,106350179,63,150,,114043028
2018,106345386,10,,,114043034
2018,106350210,7,600,,114037955
2018,106345429,3,100,,114037952
2018,106345446,20,348,,114043107
2018,106345444,20,348,25-JUL-18,114043106
2018,106350239,20,225,,114047841
2018,106345458,61,800,,114047842
2018,106340289,38,75,,114037986
2018,106345482,20,120,,114043142
2018,106350259,63,28,,114047878
2018,106340372,8,30,,114047947
2018,106340372,63,140,,114043253
2018,106340372,47,0,,114038090
2018,106340372,9,0,,114047948
2018,106340372,51,0,,114038091
2018,106350351,10,1,,114047992
2018,106350368,10,22,03-AUG-18,114038170
2018,106350369,6,11,,114043333
2018,106350369,54,7,,114038174
2018,106350368,6,11,03-AUG-18,114043331
2018,106350368,54,7,03-AUG-18,114038171
2018,106350369,59,4,,114038175
2018,106350369,10,22,,114038173
2018,106350368,59,4,03-AUG-18,114038172
2018,106345639,50,15,,114043347
2018,106345666,54,50,,114043377
2018,106345685,25,1,04-JUL-18,114043398
2018,106340473,25,1,,114038226
2018,106340481,38,100,,114038241
2018,106350426,19,308,,114038247
2018,106345718,47,0,,114043434
2018,106340492,3,4900,,114038259
2018,106345731,3,2000,14-AUG-18,114043445
2018,106350443,3,2000,,114048109
2018,106350462,50,49,,114048138
2018,106345794,11,5,,114043516
2018,106350514,3,200,,114048217
2018,106350519,36,75,,114038340
2018,106345805,54,10,17-AUG-18,114043530
2018,106350519,67,1,,114048229
2018,106345805,60,10,17-AUG-18,114043533
2018,106345805,36,45,17-AUG-18,114043529
2018,106350519,60,30,,114043536
2018,106350519,54,10,,114043535
2018,106345823,10,,,114038357
2018,106350538,10,,,114038358
2018,106350541,3,1000,,114043578
2018,106350541,7,100,,114048263
2018,106345834,3,1000,01-AUG-18,114043575
2018,106345870,3,501,,114043628
2018,106350592,38,200,,114038428
2018,106350598,3,500,,114048333
2018,106350603,3,499,,114048344
2018,106345905,20,600,,114048376
2018,106340656,33,20,,114043693
2018,106340669,42,250,,114038501
2018,106345951,3,64790,,114043741
2018,106350669,10,,,114038522
2018,106350693,4,200,,114043773
2018,106345981,3,21000,,114043775
2018,106346006,2,22,,114043795
2018,106350742,20,20,,114048544
2018,106340754,25,50,,114038601
2018,106340754,51,0,,114038602
2018,106340754,9,0,,114038600
2018,106340775,11,1,,114038640
2018,106340775,10,,,114038639
2018,106350828,10,,,114038659
2018,106350828,11,1,,114038661
2018,106346110,3,30000,15-MAY-18,114043955
2018,106346111,3,30000,,114043957
2018,106346114,10,,,114038739
2018,106350896,3,750,,114048766
2018,106340854,36,30,07-JUL-18,114043977
2018,106346136,19,330,,114038760
2018,107616951,11,1,,115695997
2018,106346159,21,8946,,114044036
2018,106346168,38,10,,114044045
2018,106346174,16,400,,114048828
2018,106346196,8,43,,114048868
2018,107616951,10,,,115691359
2018,106350985,20,1,,114048895
2018,107611879,8,12,,115699702
2018,106351031,20,298,,114044141
2018,106340969,26,1400,,114044150
2018,106340975,16,10,,114038865
2018,106351058,21,16800,,114048994
2018,106351058,20,36449,,114048993
2018,107619800,10,,,115696009
2018,106346279,61,50,,114049022
2018,106346279,63,150,,114044191
2018,106341031,38,225,,114044230
2018,106341044,3,450,13-SEP-18,114049090
2018,106341045,3,450,,114038962
2018,106351136,54,150,,114038978
2018,107619802,11,1,,115696015
2018,107619802,10,,,115699703
2018,106349421,10,,,114046791
2018,106349421,11,5,,114046792
2018,106349439,63,200,,114046823
2018,106339452,9,0,,114036834
2018,106339452,63,1,,114046850
2018,106339452,25,300,,114046849
2018,106339452,16,800,,114036835
2018,106344475,63,100,,114036852
2018,106344476,7,1200,03-AUG-18,114046858
2018,106344476,19,100,03-AUG-18,114036854
2018,106339466,7,2400,,114036862
2018,106339466,63,70,,114036871
2018,106339466,6,100,,114041844
2018,106344476,63,70,03-AUG-18,114036859
2018,106339466,17,5650,,114036866
2018,106339466,26,750,,114036870
2018,106339466,16,2600,,114036865
2018,106344476,17,2000,03-AUG-18,114046859
2018,106339466,19,200,,114041847
2018,106344476,26,750,03-AUG-18,114036857
2018,106349469,10,,,114041860
2018,106349469,63,1,,114046880
2018,106349469,13,1,,114036885
2018,106344499,16,100,,114041878
2018,106344499,22,0,,114036902
